Allée Jules Verne 44850 LIGNÉ;,47.411864,-1.377774,"Ligne (Ligné), PDL, France",,,,,Loire-Atlantique,Ligne,,Ligné,Pays de la Loire,PDL,1,,,France,fr,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Salle omnisport 1,2 et 3 85300 Sallertaine;",46.831329,-1.887826,"Salle des Noues, 19 Chemin des Noues, 85300 Challans, France",19,Salle des Noues,Chemin des Noues,85300,Vendée,Challans,,Challans,Pays de la Loire,PDL,1,,,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salle de sport de l'Antonnière 72650 La Milesse;,48.069027,0.136698,"72650 La Milesse, France",,72650,,72650,Sarthe,,,La Milesse,Pays de la Loire,PDL,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
21 Place Jean-Baptiste Chaverot 42780 VIOLAY;,45.851539,4.355428,"21 Place Jean Baptiste Chaverot, 42780 Violay, France",21,,Place Jean Baptiste Chaverot,42780,Loire,Violay,,Violay,Auvergne-Rhone-Alpes,ARA,1,1,1,France,fr,1,© OpenAddresses contributors,BSD-3-Clause License,
Avenue Clément Pineau 79500 MELLE;,46.230352,-0.1342739,"Rue Clément Pineau, 79500 Melle, France",,Rue Clément Pineau,Rue Clément Pineau,79500,Deux-Sèvres,Melle,,Melle,Nouvelle-Aquitaine,NAQ,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
salle COSEC rte de la Petite Chapelle 50140 MORTAIN-BOCAGE;,48.64298,-0.936413,"Rue de la Petite Chapelle, 50140 Saint-Jean-Du-Corail, France",,,Rue de la Petite Chapelle,50140,Manche,Saint-Jean-Du-Corail,Mortain,Saint-Jean-Du-Corail,Normandy,NOR,0.5,0.5,,France,fr,0.25,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4 rue d'angleterre 49390 VERNANTES;,47.39460149999999,0.0556162033044363,"4 Rue de l'Angleterre, 49390 Vernantes, France",4,,Rue de l'Angleterre,49390,Maine-et-Loire,Le Bourg,,Vernantes,Pays de la Loire,PDL,1,0.7424999999999999,0.7424999999999999,France,fr,0.7424999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Avenue Léo Lagrange 59148 FLINES LES RACHES;,50.427254,3.184694,"2 Avenue Leo Lagrange, 59148 Flines-lez-Raches, France",2,,Avenue Leo Lagrange,59148,Nord,Anhiers,,Flines-lez-Raches,Upper France,,0.405,0.405,0.00004108477327291787,France,fr,0.15540697674418608,© OpenAddresses contributors,BSD-3-Clause License,
"1, impasse de la barrière  54980 BATILLY;",49.173581,5.979838,"54980 Batilly (Batilly), France",,,,54980,Meurthe-et-Moselle,Batilly,,Batilly,Great East,,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
COMPLEXE SPORTIF DES VAUZELLES  16100 CHATEAUBERNARD;,45.790597,1.130889,"Complexe Sportif des Grangettes, 87700 Aixe-sur-Vienne, France",,,Complexe Sportif des Grangettes,87700,Haute-Vienne,Aixe-Sur-Vienne,,Aixe-sur-Vienne,New Aquitaine,,,,,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salle du Picolo - rue du Piccolo 95210 Saint Gratien;,48.968669,2.278424,"Passage du Piccolo, 95210 Saint-Gratien, France",,,Passage du Piccolo,95210,Val-d'Oise,Saint-Gratien,,Saint-Gratien,Ile-of-France,IDF,1,0.9,,France,fr,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
7 avenue François Mitterand  66300 Thuir;,42.62934,2.758715,"Thuir (Thuir), OCC, France",,,,,Pyrénées-Orientales,Thuir,,Thuir,Occitania,OCC,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Salle du Chevré - Rue Saint Exupéry 35690 ACIGNE;,48.1358191,-1.5408819,"Rue Saint-Exupéry, 35690 Acigné, France",,Rue Saint-Exupéry,Rue Saint-Exupéry,35690,Ille-et-Vilaine,,,Acigné,Brittany,BRE,1,1,,France,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salle de Tennis - Route de Descartes 86220 Dangé-St Romain;,46.875633,0.591627,"5 Route De Oyré, 86220 Ingrandes, France",5,,Route De Oyré,86220,Vienne,Ingrandes,,Ingrandes,New Aquitaine,,0.3,0.27,0.00001879023371803051,France,fr,0.0675,© OpenAddresses contributors,BSD-3-Clause License,
"gymnase de Lei Garrus, chemin des ange 83470 St Maximin;",43.479186,5.841438,"83470 Saint-Maximin-La-Sainte-Baume, France",,83470,,83470,Var,,,Saint-Maximin-La-Sainte-Baume,Provence-Alpes-Cote d'Azur,PAC,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
rue Jeff Le Penven 56300 PONTIVY;,48.057738,-2.954281,"Rue Jef Le Penven, 56300 Pontivy, France",,,Rue Jef Le Penven,56300,Morbihan,Pontivy,,Pontivy,Brittany,BRE,1,0.675,,France,fr,0.675,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Domaine du Pinsan - Salle Omnisport 33320 Eysines;,44.868159,-0.65255,"Salle omnisport du Pinsan, 33320 Eysines, France",,,Salle omnisport du Pinsan,33320,Gironde,Eysines,,Eysines,New Aquitaine,,1,,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
409 rue Edgar Loubry 59970 FRESNES SUR ESCAUT;,50.436194,3.575445,"409 Rue Edgard Loubry, 59970 Fresnes-sur-Escaut, France",409,,Rue Edgard Loubry,59970,Nord,Fresnes-Sur-Escaut,,Fresnes-sur-Escaut,Upper France,,1,0.75,0.75,France,fr,0.75,© OpenAddresses contributors,BSD-3-Clause License,
389 avenue Mchal De Lattre de Tassigy 71000 MACON;,46.305919,4.823162,"71000 Macon (Mâcon), France",,,,71000,Saône-et-Loire,Macon,,Mâcon,Burgundy-Franche-Comte,BFC,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Salle omnisport 16210 CHALAIS;,45.271909,0.05133,"16210 Chalais, France",,16210,,16210,Charente,,,Chalais,New Aquitaine,,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
25 B Rue du Gén Leclerc 60120 BRETEUIL;,49.575795,2.46803,"25 Rue Du Général Leclerc, 60420 Sains-Morainvillers, France",25,,Rue Du Général Leclerc,60420,Oise,Sains-Morainvillers,,Sains-Morainvillers,Upper France,,0.3,0.3,0.3,France,fr,0.3,© OpenAddresses contributors,BSD-3-Clause License,
"rue du stade, complexe Fernand Sastre 44390 Petit Mars;",47.395109,-1.453303,"Petit-Mars (Petit-Mars), PDL, France",,,,,Loire-Atlantique,Petit-Mars,,Petit-Mars,Pays de la Loire,PDL,0.4444444444444444,,,France,fr,0.29914529914529914,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"42, rue de boishue 50220 Ducey-Les Chéris;",48.615876,-1.296173,"20 Rue De Boishue, 50220 Ducey, France",20,,Rue De Boishue,50220,Manche,Ducey,,Ducey,Normandy,NOR,1,1,0.2727272727272727,France,fr,0.5,© OpenAddresses contributors,BSD-3-Clause License,
378 rue Cornouaille (route de Pannecé) 44522 MESANGER;,47.432582,-1.22913,"Mesanger (Mésanger), PDL, France",,,,,Loire-Atlantique,Mesanger,,Mésanger,Pays de la Loire,PDL,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Rue cdt Challe 29490 Guipavas ;,48.440925,-4.406808,"Rue du Commandant Challe, 29490 Guipavas, France",,,Rue du Commandant Challe,29490,Finistère,Gouesnou,,Guipavas,Brittany,BRE,1,0.567,,France,fr,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Gymnase du Collège, 43 rue Fort Bayard 33420 BRANNE;",44.824405,-0.184135,"43 Rue Du Fort Bayard, 33420 Branne, France",43,,Rue Du Fort Bayard,33420,Gironde,Branne,,Branne,New Aquitaine,,1,0.9,0.9,France,fr,0.81,© OpenAddresses contributors,BSD-3-Clause License,
2 Allée des Prairies de la Mer 14150 Ouistreham ;,49.285472,-0.269219,"2 Allée Des Prairies De La Mer, 14150 Ouistreham, France",2,,Allée Des Prairies De La Mer,14150,Calvados,Ouistreham,,Ouistreham,Normandy,NOR,1,1,1,France,fr,1,© OpenAddresses contributors,BSD-3-Clause License,
